idnositelj,idkolegij,naziv,semestar,ects,predavanja,laboratorijske,auditorne,studij,smjer,godina,ime,prezime,titula,idkolegij,idprofil,idprofil,naziv
1,183357,Uvod u programiranje                              ,zimski,7,60,18,0,preddiplomski                 ,,1,Gordan              ,Gledec                        ,Prof. dr. sc.       ,,,,
2,183357,Uvod u programiranje                              ,zimski,7,60,18,0,preddiplomski                 ,,1,Vedran              ,Mornar                        ,Prof. dr. sc.       ,,,,
3,183371,Objektno orijentirano programiranje               ,ljetni,8,60,18,15,preddiplomski                 ,,1,Mario               ,Kušek                         ,Prof. dr. sc.       ,,,,
4,183371,Objektno orijentirano programiranje               ,ljetni,8,60,18,15,preddiplomski                 ,,1,Krešimir            ,Pripužić                      ,Izv. prof. dr. sc.  ,,,,
5,183371,Objektno orijentirano programiranje               ,ljetni,8,60,18,15,preddiplomski                 ,,1,Boris               ,Milašinović                   ,Izv. prof. dr. sc.  ,,,,
6,183371,Objektno orijentirano programiranje               ,ljetni,8,60,18,15,preddiplomski                 ,,1,Mirko               ,Randić                        ,Izv. prof. dr. sc.  ,,,,
7,183384,Električni krugovi                                ,zimski,5,60,12,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,2,Dražen              ,Jurišić                       ,Prof. dr. sc.       ,,,,
8,183384,Električni krugovi                                ,zimski,5,60,12,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,2,Igor                ,Lacković                      ,Prof. dr. sc.       ,,,,
9,183384,Električni krugovi                                ,zimski,5,60,12,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,2,Zvonko              ,Kostanjčar                    ,Izv. prof. dr. sc.  ,,,,
10,183381,Algoritmi i strukture podataka                    ,zimski,6,60,6,0,preddiplomski                 ,Računarstvo                                       ,2,Ivica               ,Botički                       ,Prof. dr. sc.       ,,,,
11,183381,Algoritmi i strukture podataka                    ,zimski,6,60,6,0,preddiplomski                 ,Računarstvo                                       ,2,Mirjana             ,Domazet-Lošo                  ,Izv. prof. dr. sc.  ,,,,
12,183381,Algoritmi i strukture podataka                    ,zimski,6,60,6,0,preddiplomski                 ,Računarstvo                                       ,2,Mile                ,Šikić                         ,Prof. dr. sc.       ,,,,
2,183381,Algoritmi i strukture podataka                    ,zimski,6,60,6,0,preddiplomski                 ,Računarstvo                                       ,2,Vedran              ,Mornar                        ,Prof. dr. sc.       ,,,,
13,183421,Elektromagnetska polja                            ,zimski,5,60,15,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,3,Sead                ,Berberović                    ,Prof. dr. sc.       ,,,,
14,183421,Elektromagnetska polja                            ,zimski,5,60,15,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,3,Martin              ,Dadić                         ,Prof. dr. sc.       ,,,,
15,183421,Elektromagnetska polja                            ,zimski,5,60,15,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,3,Željko              ,Štih                          ,Prof. dr. sc.       ,,,,
16,183421,Elektromagnetska polja                            ,zimski,5,60,15,0,preddiplomski                 ,Elektrotehnika i informacijska tehnologija        ,3,Bojan               ,Trkulja                       ,Prof. dr. sc.       ,,,,
