idnositelj,ime,prezime,titula
1,Gordan              ,Gledec                        ,Prof. dr. sc.       
2,Vedran              ,Mornar                        ,Prof. dr. sc.       
3,Mario               ,Kušek                         ,Prof. dr. sc.       
4,Krešimir            ,Pripužić                      ,Izv. prof. dr. sc.  
5,Boris               ,Milašinović                   ,Izv. prof. dr. sc.  
6,Mirko               ,Randić                        ,Izv. prof. dr. sc.  
7,Dražen              ,Jurišić                       ,Prof. dr. sc.       
8,Igor                ,Lacković                      ,Prof. dr. sc.       
9,Zvonko              ,Kostanjčar                    ,Izv. prof. dr. sc.  
10,Ivica               ,Botički                       ,Prof. dr. sc.       
11,Mirjana             ,Domazet-Lošo                  ,Izv. prof. dr. sc.  
12,Mile                ,Šikić                         ,Prof. dr. sc.       
13,Sead                ,Berberović                    ,Prof. dr. sc.       
14,Martin              ,Dadić                         ,Prof. dr. sc.       
15,Željko              ,Štih                          ,Prof. dr. sc.       
16,Bojan               ,Trkulja                       ,Prof. dr. sc.       
17,Jan                 ,Šnajder                       ,Izv. prof. dr. sc.  
18,Marko               ,Čupić                         ,Izv. prof. dr. sc.  
19,Bojana              ,Dalbelo Bašić                 ,Prof. dr. sc.       
20,Zdenko              ,Kovačić                       ,Prof. dr. sc.       
21,Matko               ,Orsag                         ,Izv. prof. dr. sc.  
22,Mario               ,Brčić                         ,Doc. dr. sc.        
23,Marko               ,Horvat                        ,Doc. dr. sc.        
24,Vladimir            ,Čeperić                       ,Izv. prof. dr. sc.  
25,Dubravko            ,Babić                         ,Izv. prof. dr. sc.  
26,Tomislav            ,Kos                           ,Prof. dr. sc.       
27,Josip               ,Lončar                        ,Doc. dr. sc.        
