idprofil,naziv
1,Audiotehnologije i elektroakustika                
2,Elektroenergetika                                 
3,Elektroničko i računalno inženjerstvo             
4,Elektronika                                       
5,Elektrostrojarstvo i automatizacija               
6,Automatika i robotika                             
7,Informacijsko i komunikacijsko inženjerstvo       
8,Komunikacijske i svemirske tehnologije            
9,Programsko inženjerstvo i informacijski sustavi   
10,Računalno inženjerstvo                            
11,Računalno modeliranje u inženjerstvu              
12,Računarska znanost                                
13,Znanost o mrežama                                 
14,Znanost o podacima                                
